File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.lang3.text.ExtendedMessageFormat,"('applyPattern(java.lang.String)',)",146,209,0.936073431448034
org.apache.commons.lang3.text.ExtendedMessageFormat,"('ExtendedMessageFormat(java.lang.String,java.util.Locale)',)",102,103,0.9301170458971943
org.apache.commons.lang3.text.ExtendedMessageFormat,"('ExtendedMessageFormat(java.lang.String)',)",91,92,0.8246759353725599
org.apache.commons.lang3.text.ExtendedMessageFormat,"('ExtendedMessageFormat(java.lang.String,java.util.Locale,java.util.Map)',)",125,129,0.8182912954443785
org.apache.commons.lang3.ObjectUtils,"('ObjectUtils()',)",74,75,0.0
org.apache.commons.lang3.ObjectUtils,"('<clinit>()',)",63,63,0.0
org.apache.commons.lang3.ObjectUtils,"('defaultIfNull(java.lang.Object,java.lang.Object)',)",96,96,0.0
org.apache.commons.lang3.ObjectUtils,"('firstNonNull(java.lang.Object[])',)",120,127,0.0
org.apache.commons.lang3.ObjectUtils,"('equals(java.lang.Object,java.lang.Object)',)",152,158,0.0
org.apache.commons.lang3.ObjectUtils,"('notEqual(java.lang.Object,java.lang.Object)',)",181,181,0.0
org.apache.commons.lang3.ObjectUtils,"('hashCode(java.lang.Object)',)",198,198,0.0
org.apache.commons.lang3.ObjectUtils,"('identityToString(java.lang.Object)',)",220,225,0.0
org.apache.commons.lang3.ObjectUtils,"('identityToString(java.lang.StringBuffer,java.lang.Object)',)",244,250,0.0
org.apache.commons.lang3.ObjectUtils,"('toString(java.lang.Object)',)",272,272,0.0
org.apache.commons.lang3.ObjectUtils,"('toString(java.lang.Object,java.lang.String)',)",295,295,0.0
org.apache.commons.lang3.ObjectUtils,"('min(java.lang.Comparable[])',)",313,321,0.0
org.apache.commons.lang3.ObjectUtils,"('max(java.lang.Comparable[])',)",337,345,0.0
org.apache.commons.lang3.ObjectUtils,"('compare(java.lang.Comparable,java.lang.Comparable)',)",358,358,0.0
org.apache.commons.lang3.ObjectUtils,"('compare(java.lang.Comparable,java.lang.Comparable,boolean)',)",374,381,0.0
org.apache.commons.lang3.ObjectUtils,"('clone(java.lang.Object)',)",394,428,0.0
org.apache.commons.lang3.ObjectUtils,"('cloneIfPossible(java.lang.Object)',)",446,447,0.0
org.apache.commons.lang3.Validate,"('Validate()',)",76,77,0.0
org.apache.commons.lang3.Validate,"('isTrue(boolean,java.lang.String,long)',)",102,105,0.0
org.apache.commons.lang3.Validate,"('isTrue(boolean,java.lang.String,double)',)",127,130,0.0
org.apache.commons.lang3.Validate,"('isTrue(boolean,java.lang.String,java.lang.Object[])',)",151,154,0.0
org.apache.commons.lang3.Validate,"('isTrue(boolean)',)",176,179,0.0
org.apache.commons.lang3.Validate,"('notNull(java.lang.Object)',)",200,200,0.0
org.apache.commons.lang3.Validate,"('notNull(java.lang.Object,java.lang.String,java.lang.Object[])',)",218,221,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.lang.Object[],java.lang.String,java.lang.Object[])',)",243,249,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.lang.Object[])',)",269,269,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.util.Collection,java.lang.String,java.lang.Object[])',)",291,297,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.util.Collection)',)",317,317,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.util.Map,java.lang.String,java.lang.Object[])',)",339,345,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.util.Map)',)",365,365,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.lang.CharSequence,java.lang.String,java.lang.Object[])',)",387,393,0.0
org.apache.commons.lang3.Validate,"('notEmpty(java.lang.CharSequence)',)",414,414,0.0
org.apache.commons.lang3.Validate,"('notBlank(java.lang.CharSequence,java.lang.String,java.lang.Object[])',)",437,443,0.0
org.apache.commons.lang3.Validate,"('notBlank(java.lang.CharSequence)',)",464,464,0.0
org.apache.commons.lang3.Validate,"('noNullElements(java.lang.Object[],java.lang.String,java.lang.Object[])',)",492,499,0.0
org.apache.commons.lang3.Validate,"('noNullElements(java.lang.Object[])',)",524,524,0.0
org.apache.commons.lang3.Validate,"('noNullElements(java.lang.Iterable,java.lang.String,java.lang.Object[])',)",552,560,0.0
org.apache.commons.lang3.Validate,"('noNullElements(java.lang.Iterable)',)",585,585,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.lang.Object[],int,java.lang.String,java.lang.Object[])',)",610,614,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.lang.Object[],int)',)",639,639,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.util.Collection,int,java.lang.String,java.lang.Object[])',)",664,668,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.util.Collection,int)',)",690,690,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.lang.CharSequence,int,java.lang.String,java.lang.Object[])',)",716,720,0.0
org.apache.commons.lang3.Validate,"('validIndex(java.lang.CharSequence,int)',)",746,746,0.0
org.apache.commons.lang3.Validate,"('validState(boolean)',)",767,770,0.0
org.apache.commons.lang3.Validate,"('validState(boolean,java.lang.String,java.lang.Object[])',)",787,790,0.0
org.apache.commons.lang3.Validate,"('matchesPattern(java.lang.CharSequence,java.lang.String)',)",807,811,0.0
org.apache.commons.lang3.Validate,"('matchesPattern(java.lang.CharSequence,java.lang.String,java.lang.String,java.lang.Object[])',)",830,834,0.0
org.apache.commons.lang3.Validate,"('inclusiveBetween(java.lang.Object,java.lang.Object,java.lang.Comparable)',)",850,854,0.0
org.apache.commons.lang3.Validate,"('inclusiveBetween(java.lang.Object,java.lang.Object,java.lang.Comparable,java.lang.String,java.lang.Object[])',)",873,877,0.0
